"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_EXPANSION_QUEST_MENU_ERROR_OBJECTIVEITEM","You need to select the objective item first that you want to turn-in to complete the quest!","You need to select the objective item first that you want to turn-in to complete the quest!","Nejdříve musíte vybrat cílovou položku, kterou chcete odevzdat k dokončení úkolu!","Du musst zuerst den Gegenstand auswählen, den du abgeben möchtest, um die Quest abzuschließen!","Сначала вам нужно выбрать предмет, который вы хотите сдать, чтобы завершить задание!","You need to select the objective item first that you want to turn-in to complete the quest!","You need to select the objective item first that you want to turn-in to complete the quest!","Devi selezionare un oggetto da consegnare prima di chiudere la quest!","Debes seleccionar el item a entregar para poder completar la misión!","Vous devez d'abord sélectionner la récompense que vous souhaitez pour valider la quête !","您需要先選擇要完成任務的目標物品！","You need to select the objective item first that you want to turn-in to complete the quest!","You need to select the objective item first that you want to turn-in to complete the quest!","你需要先选择你想要交给的目标物品来完成任务！",
"STR_EXPANSION_QUEST_MENU_ERROR_REWARD","You need to select your quest reward first to complete the quest!","You need to select your quest reward first to complete the quest!","Nejdříve musíte vybrat odměnu za úkol k dokončení úkolu!","Du musst deine Belohnung auswählen um die Quest abschließen zu können!","Чтобы завершить задание, сначала нужно выбрать награду за задание!","You need to select your quest reward first to complete the quest!","You need to select your quest reward first to complete the quest!","Devi selezionare un compenso per la missione prima di completarla!","Debes seleccionar una recompensa para poder completar la misión!","Vous devez sélectionner l'un des choix pour compléter la Quête!","您需要先選擇您的任務獎勵以完成任務！","You need to select your quest reward first to complete the quest!","You need to select your quest reward first to complete the quest!","您需要先选择您的任务奖励才能完成任务！",
"STR_EXPANSION_QUEST_MENU_HIDE_HUD","Hide HUD","Hide HUD","Skrýt HUD","Verstecke HUD","Скрыть HUD","Hide HUD","Hide HUD","Nascondi Interfaccia","Ocultar HUD","Cacher HUD","隱藏 HUD","Hide HUD","Hide HUD","隐藏 HUD",
"STR_EXPANSION_QUEST_MENU_ITEMS_LABEL","You will receive the following items on quest start:","You will receive the following items on quest start:","You will receive the following items on quest start:","Du bekommst die folgenden Gegenstände bei Quest-Beginn:","В начале задания вы получите следующие предметы:","You will receive the following items on quest start:","You will receive the following items on quest start:","You will receive the following items on quest start:","You will receive the following items on quest start:","Vous recevrez les objets suivants au début de la quête:","You will receive the following items on quest start:","You will receive the following items on quest start:","You will receive the following items on quest start:","You will receive the following items on quest start:",
"STR_EXPANSION_QUEST_MENU_OBJECTIVES_LABEL","Objectives:","Objectives:","Cíle:","Aufgaben:","Задачи:","Objectives:","Objectives:","Obiettivi:","Objetivos:","Objectifs:","目標：","Objectives:","Objectives:","目标：",
"STR_EXPANSION_QUEST_MENU_REWARDS_LABEL","You get:","You get:","Získáte:","Du bekommst:","Вы получите:","You get:","You get:","Otterrai:","Recibes:","Vous recevez:","您獲得：","You get:","You get:","奖励：",
"STR_EXPANSION_QUEST_MENU_RANDOMREWARD_LABEL","You get %1 of the following items (randomly selected on quest completion):","You get %1 of the following items (randomly selected on quest completion):","Obdržíte %1 z následujících položek (náhodně vybraných po dokončení úkolu):","Du erhälst %1 der folgeneden Gegenstände (wir beim abschließen der Quest zufällig ausgewählt):","Вы получите %1 из следующих предметов (Будет выбран случайно по завершению задания):","You get %1 of the following items (randomly selected on quest completion):","You get %1 of the following items (randomly selected on quest completion):","You get %1 of the following items (randomly selected on quest completion):","Vas a recibir %1 de los siguientes items (seleccionado al azar al completar la misión):","Vous obtenez %1 des objets suivants (choisis au hasard à la fin de la quête):","您將獲得以下物品中的 %1 (在任務完成時隨機選擇)：","You get %1 of the following items (randomly selected on quest completion):","You get %1 of the following items (randomly selected on quest completion):","您将获得以下物品中的%1个（任务完成时随机选择）：",
"STR_EXPANSION_QUEST_MENU_REWARD_LABEL","You can select one of the following items:","You can select one of the following items:","Můžete vybrat jednu položku:","Du kannst einen der folgeneden Gegenstände auswählen:","Можно выбрать один предмет:","You can selected one item:","You can selected one item:","Puoi selezionare un oggetto:","Debes seleccionar uno de los siguientes items:","Vous pouvez choisir un objet:","您可以從以下物品中選擇一個：","You can selected one item:","You can selected one item:","您可以选择一项：",
"STR_EXPANSION_QUEST_MENU_SHOW_HUD","Show HUD","Show HUD","Zobrazit HUD","Zeige HUD","Показать HUD","Show HUD","Show HUD","Mostra Interfaccia","Mostrar HUD","Montrer HUD","顯示 HUD","Show HUD","Show HUD","显示 HUD",
"STR_EXPANSION_QUEST_MENU_SHARE","Share","Share","Share","Teilen","Поделиться","Share","Share","Share","Compartir","Partager","Share","Share","Share","共享",
"STR_EXPANSION_QUEST_TITLE","Quest %1","Quest %1","Úkol %1","Quest %1","Задание %1","Quest %1","Quest %1","Missione %1","Misión %1","Quête %1","任務 %1","Quest %1","Quest %1","任务%1",
"STR_EXPANSION_QUEST_TOGGLE","Toggle Quest HUD","Toggle Quest HUD","Přepnout Quest HUD","Quest-HUD Umschalten","HUD Заданий","Toggle Quest HUD","Toggle Quest HUD","Attiva / Disattiva interfaccia delle missioni","Alternar HUD misiones","Activer HUD de quête","切換任務 HUD","Toggle Quest HUD","Toggle Quest HUD","切换任务 HUD",
"STR_EXPANSION_QUEST_MAXREACHED_TITLE","Can't Accept Quest","Can't Accept Quest","Nelze přijmout úkol","Kann die Quest nicht annehmen","Достигнут лимит заданий","Can't Accept Quest","Can't Accept Quest","Can't Accept Quest","Limite maximo de misiones","Impossible d'accepter la quête","不能接受任務","Can't Accept Quest","Can't Accept Quest","无法接受任务",
"STR_EXPANSION_QUEST_MAXREACHED_DESC","You have too many Active Quests !","You have too many Active Quests !","Máte příliš mnoho aktivních úkolů!","Du hast zu viele aktive Quests!","У вас слишком много активных заданий!","You have too many Active Quests !","You have too many Active Quests !","You have too many Active Quests !","Llegaste al limite de misiones activas!","Vous avez trop de quêtes actives !","您有太多進行中的任務！","You have too many Active Quests !","You have too many Active Quests !","你有太多的活动任务！",
"STR_EXPANSION_TOGGLE_QUESTLOG","Toggle Quest Log","Toggle Quest Log","Přepnout záznam úkolů","Quest-Log Umschalten","Вкл/Выкл Меню Заданий","Toggle Quest Log","Toggle Quest Log","Attiva / Disattiva registro missioni","Toggle Quest Log","Basculer le journal des quêtes","切換任務日誌","Toggle Quest Log","Toggle Quest Log","切换任务日志",
